ཡིག་ཆ།,"BDRC
Work",,,,,རྩ་བ།,"BDRC
Work",,,,,,,,,,,,,,,,
Pecha Upload List,,,,對讀上傳Pecha工作分配及流程,S.O.P. of Upload file to Pecha,,,,,,,,,,,,,,,,,,
Kumarajive No.,,Data Preparation,Tibetan/Chineses Sutra Name (Short),Tibetan/Chiness Sutra Name (Long),English Sutra Name,Commentary of (Toh number),,Category,Author (Tibetan/Chinese),Author (English),"""Source: URL or site name ",Bo/Zh/Modern ZH,Document link,Pecha no., Pecha Status,Alignment File,Alingment Status,todo KV,todo Drupchen,remark GZ,same segmentation,segmentation of simplified Chinese translation,陳/黃chen & huang remarks
,,,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-005,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-005,,toh56,,1. 經部,佛世尊,,CBETA,ZH,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-005_zh,IDBDB45F6 - 《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-005,fodian.org,,Alignment Checking,,,,,,
,,,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-006,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-006,"Heap of Jewels, Bodhisattva Canon Assembly - Xuanzang -toh56to57-tai310-006",toh56,WA0RK0056-6,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-006_bo,I112B1F9E - འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-006,fodian.org,,Alignment Checking,,,,,,
,,,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-006,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-006,,toh56,,1. 經部,佛世尊,,CBETA,ZH,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-006_zh,I75DCE018 - 《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-006,fodian.org,,Alignment Checking,,,,,,
,,,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-008,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-008,"Heap of Jewels, Bodhisattva Canon Assembly - Xuanzang -toh56to57-tai310-008",toh56,WA0RK0056-6,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-006_bo,,Staging,,Alignment Checking,,,,,,
,,,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-008,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-008,,toh56,,1. 經部,佛世尊,,CBETA,ZH,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-006_zh,,Staging,,Alignment Checking,,,,,,
,,,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-008,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-008,"Heap of Jewels, Bodhisattva Canon Assembly - Xuanzang -toh56to57-tai310-008",toh56,WA0RK0056-8,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-008_bo,,Staging,,Alignment Checking,,,,,,
,,,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-008,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-008,,toh56,,1. 經部,佛世尊,,CBETA,ZH,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-008_zh,,Staging,,Alignment Checking,,,,,,
,,,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-00101,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-00101,"Heap of Jewels, Bodhisattva Canon Assembly - Xuanzang -toh56to57-tai310-00101",toh56,WA0RK0056-1-1,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-00101_bo,,Staging,,Alignment Checking,,,,,,
,,,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-00101,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-00101,,toh56,,1. 經部,佛世尊,,CBETA,ZH,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-00101_zh,,Staging,,Alignment Checking,,,,,,
,,,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-00102,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-00102,"Heap of Jewels, Bodhisattva Canon Assembly - Xuanzang -toh56to57-tai310-00102",toh56,WA0RK0056-1-2,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-00102_bo,,Staging,,Alignment Checking,,,,,,
